Emp_ID,Age,Age_Group,Attrition,Department,Education_Field,Employee_Count,Gender,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Salary_Slab,Separation_Reason,Years_At_Company,State
E1057,57,50-59,No,Research,Management,1,Female,Research Scientist,3,Single,16313,10001-20k,,7,Tamil Nadu
E1058,35,30-39,No,Marketing,Management,1,Female,Marketing Analyst,2,Single,18359,10001-20k,,32,Karnataka
E1059,52,50-59,No,Sales,Arts,1,Female,Sales Manager,4,Single,35380,30001-40k,,17,Madhya Pradesh
E1060,36,30-39,No,Sales,Science,1,Female,Sales Executive,3,Single,11315,10001-20k,,28,Telangana
E1061,29,20-29,No,Research,Arts,1,Female,Research Associate,2,Married,17752,10001-20k,,31,Karnataka
E1062,35,30-39,No,Manufacturing,Technical,1,Male,Production Worker,1,Single,48191,40001-50k,,32,Uttar Pradesh
E1063,44,40-49,No,Research,Technical,1,Male,Research Associate,3,Married,11930,10001-20k,,4,Maharashtra
E1064,42,40-49,Yes,Logistics,Management,1,Female,Supply Chain Manager,4,Single,11353,10001-20k,Better Opportunity,17,Gujarat
E1065,37,30-39,No,HR,Commerce,1,Female,HR Manager,1,Married,14832,10001-20k,,9,Karnataka
E1066,39,30-39,No,Marketing,Management,1,Male,Marketing Manager,2,Married,13772,10001-20k,,32,Tamil Nadu
E1067,45,40-49,No,Research,Commerce,1,Female,Research Associate,3,Married,10998,10001-20k,,22,Gujarat
E1068,47,40-49,Yes,HR,Arts,1,Male,HR Manager,3,Single,10896,10001-20k,Termination,4,Tamil Nadu
E1069,46,40-49,No,Logistics,Technical,1,Female,Logistics Executive,4,Married,15993,10001-20k,,33,Telangana
E1070,50,50-59,No,HR,Commerce,1,Female,HR Executive,1,Divorced,16621,10001-20k,,23,Maharashtra
E1071,36,30-39,No,Research,Arts,1,Male,Research Associate,3,Divorced,9805,7k-10k,,16,Uttar Pradesh
E1072,22,20-29,No,Sales,Technical,1,Female,Sales Manager,3,Single,32525,30001-40k,,30,Karnataka
E1073,46,40-49,Yes,Marketing,Commerce,1,Male,Marketing Manager,1,Divorced,18690,10001-20k,Layoff,6,Haryana
E1074,28,20-29,No,Marketing,Management,1,Male,Marketing Manager,3,Divorced,17423,10001-20k,,16,Delhi
E1075,30,30-39,No,Sales,Management,1,Male,Sales Executive,1,Divorced,9827,7k-10k,,27,Gujarat
E1076,45,40-49,No,Manufacturing,Management,1,Female,Production Worker,1,Single,8825,7k-10k,,21,Haryana
E1077,22,20-29,No,Research,Arts,1,Male,Research Scientist,1,Single,38280,30001-40k,,14,Telangana
E1078,29,20-29,Yes,Marketing,Management,1,Male,Marketing Analyst,4,Divorced,18240,10001-20k,Termination,14,Karnataka
E1079,45,40-49,Yes,Research,Science,1,Female,Research Scientist,1,Single,8594,7k-10k,Retirement,24,Tamil Nadu
E1080,32,30-39,Yes,Logistics,Technical,1,Female,Supply Chain Manager,1,Married,8427,7k-10k,Termination,20,Delhi
E1081,38,30-39,No,Research,Arts,1,Female,Research Scientist,2,Divorced,14852,10001-20k,,1,Karnataka
E1082,29,20-29,No,HR,Management,1,Female,HR Executive,2,Single,13544,10001-20k,,26,Delhi
E1083,56,50-59,No,Sales,Technical,1,Female,Sales Manager,4,Single,11180,10001-20k,,31,Uttar Pradesh
E1084,56,50-59,No,Manufacturing,Commerce,1,Female,Production Worker,1,Divorced,24332,20001-30k,,20,Karnataka
E1085,54,50-59,No,Research,Management,1,Male,Research Associate,2,Single,33836,30001-40k,,3,Haryana
E1086,26,20-29,Yes,Manufacturing,Technical,1,Female,Plant Manager,2,Divorced,21388,20001-30k,Retirement,18,Delhi
E1087,49,40-49,Yes,Manufacturing,Science,1,Male,Plant Manager,3,Single,8694,7k-10k,Resignation,1,Haryana
E1088,28,20-29,No,Logistics,Commerce,1,Female,Supply Chain Manager,1,Married,18430,10001-20k,,25,Karnataka
E1089,30,30-39,No,Accounts,Science,1,Male,Finance Analyst,2,Divorced,17093,10001-20k,,33,Uttar Pradesh
E1090,29,20-29,No,Sales,Technical,1,Male,Sales Executive,4,Married,9176,7k-10k,,13,Maharashtra
E1091,33,30-39,No,Manufacturing,Science,1,Female,Production Worker,3,Divorced,45769,40001-50k,,14,Maharashtra
E1092,55,50-59,No,Marketing,Technical,1,Female,Marketing Manager,3,Single,46420,40001-50k,,19,Telangana
E1093,54,50-59,No,HR,Technical,1,Male,HR Executive,1,Married,44855,40001-50k,,33,Delhi
E1094,44,40-49,No,Marketing,Science,1,Female,Marketing Analyst,1,Single,8460,7k-10k,,18,Madhya Pradesh
E1095,45,40-49,No,Logistics,Technical,1,Female,Logistics Executive,3,Divorced,19580,10001-20k,,8,Tamil Nadu
E1096,58,50-59,Yes,Logistics,Management,1,Male,Logistics Executive,4,Divorced,48252,40001-50k,Layoff,6,Telangana
E1097,56,50-59,Yes,Marketing,Technical,1,Male,Marketing Analyst,1,Divorced,16835,10001-20k,Retirement,29,Delhi
E1098,43,40-49,No,Sales,Arts,1,Male,Sales Manager,1,Divorced,17910,10001-20k,,12,Gujarat
E1099,48,40-49,No,Marketing,Technical,1,Female,Marketing Analyst,3,Divorced,19288,10001-20k,,26,Maharashtra
E1100,56,50-59,No,Research,Arts,1,Female,Research Scientist,3,Married,19412,10001-20k,,34,West Bengal
E1101,22,20-29,Yes,Marketing,Technical,1,Female,Marketing Manager,1,Divorced,15463,10001-20k,Resignation,12,Maharashtra
E1102,56,50-59,No,HR,Technical,1,Female,HR Manager,2,Single,20336,20001-30k,,14,Uttar Pradesh
E1103,58,50-59,No,HR,Science,1,Male,HR Manager,1,Married,33534,30001-40k,,8,West Bengal
E1104,35,30-39,No,Accounts,Management,1,Female,Accountant,2,Single,9369,7k-10k,,22,Telangana
E1105,24,20-29,No,HR,Management,1,Male,HR Executive,3,Divorced,32381,30001-40k,,2,Karnataka
E1106,22,20-29,No,Marketing,Commerce,1,Female,Marketing Manager,2,Single,19489,10001-20k,,33,Karnataka
E1107,26,20-29,No,HR,Science,1,Female,HR Manager,4,Married,11280,10001-20k,,18,Uttar Pradesh
E1108,47,40-49,No,Sales,Science,1,Male,Sales Executive,3,Married,32407,30001-40k,,27,Maharashtra
E1109,35,30-39,No,Manufacturing,Management,1,Female,Plant Manager,1,Married,17345,10001-20k,,22,Haryana
E1110,48,40-49,No,HR,Science,1,Female,HR Manager,1,Single,42939,40001-50k,,6,Telangana
E1111,30,30-39,No,Research,Management,1,Male,Research Associate,3,Married,9491,7k-10k,,11,Uttar Pradesh
E1112,36,30-39,No,Sales,Science,1,Female,Sales Manager,3,Single,12980,10001-20k,,13,Karnataka
E1113,36,30-39,No,Accounts,Technical,1,Male,Accountant,4,Divorced,11189,10001-20k,,14,Maharashtra
E1114,47,40-49,Yes,Research,Management,1,Male,Research Scientist,3,Divorced,33170,30001-40k,Better Opportunity,2,Delhi
E1115,34,30-39,No,Marketing,Management,1,Male,Marketing Analyst,1,Single,19913,10001-20k,,14,Haryana
E1116,53,50-59,No,Manufacturing,Arts,1,Male,Production Worker,4,Married,29369,20001-30k,,23,Telangana
E1117,53,50-59,Yes,Marketing,Science,1,Female,Marketing Manager,1,Single,17772,10001-20k,Termination,7,Gujarat
E1118,25,20-29,Yes,Manufacturing,Science,1,Female,Production Worker,2,Single,16061,10001-20k,Resignation,4,Telangana
E1119,51,50-59,No,Manufacturing,Management,1,Female,Production Worker,3,Single,12900,10001-20k,,3,Gujarat
E1120,58,50-59,No,Marketing,Technical,1,Male,Marketing Manager,2,Divorced,47733,40001-50k,,13,Telangana
E1121,44,40-49,No,Research,Technical,1,Female,Research Associate,1,Single,13423,10001-20k,,15,Uttar Pradesh
E1122,36,30-39,Yes,Research,Technical,1,Female,Research Associate,2,Divorced,7589,7k-10k,Retirement,19,Haryana
E1123,50,50-59,Yes,Manufacturing,Science,1,Female,Plant Manager,2,Single,10527,10001-20k,Layoff,23,Uttar Pradesh
E1124,57,50-59,No,Research,Arts,1,Female,Research Scientist,1,Divorced,10753,10001-20k,,5,Haryana
E1125,34,30-39,No,Manufacturing,Management,1,Male,Production Worker,1,Single,12772,10001-20k,,30,Maharashtra
E1126,53,50-59,No,Manufacturing,Commerce,1,Male,Production Worker,3,Single,18967,10001-20k,,5,Uttar Pradesh
E1127,28,20-29,No,Sales,Arts,1,Female,Sales Manager,2,Married,9615,7k-10k,,34,Karnataka
E1128,43,40-49,No,Logistics,Commerce,1,Male,Supply Chain Manager,4,Married,8351,7k-10k,,14,Gujarat
E1129,49,40-49,No,Sales,Arts,1,Female,Sales Executive,4,Single,8311,7k-10k,,28,Haryana
E1130,23,20-29,No,Marketing,Technical,1,Female,Marketing Analyst,1,Single,16296,10001-20k,,2,Gujarat
E1131,27,20-29,No,Logistics,Science,1,Female,Logistics Executive,1,Single,17993,10001-20k,,10,Haryana
E1132,49,40-49,No,HR,Commerce,1,Male,HR Executive,2,Single,15519,10001-20k,,2,West Bengal
E1133,49,40-49,No,Marketing,Arts,1,Female,Marketing Analyst,1,Married,9866,7k-10k,,27,Maharashtra
E1134,41,40-49,No,Accounts,Science,1,Male,Finance Analyst,4,Divorced,12701,10001-20k,,9,Delhi
E1135,51,50-59,Yes,Sales,Commerce,1,Male,Sales Executive,3,Single,48504,40001-50k,Better Opportunity,32,Haryana
E1136,32,30-39,No,Research,Management,1,Female,Research Associate,3,Married,17393,10001-20k,,15,Gujarat
E1137,49,40-49,Yes,Sales,Arts,1,Male,Sales Executive,2,Single,36404,30001-40k,Better Opportunity,9,Gujarat
E1138,46,40-49,No,Research,Management,1,Male,Research Scientist,3,Single,16923,10001-20k,,32,Tamil Nadu
E1139,54,50-59,No,Logistics,Technical,1,Female,Logistics Executive,1,Divorced,7637,7k-10k,,2,Gujarat
E1140,22,20-29,No,Accounts,Management,1,Male,Finance Analyst,1,Single,10862,10001-20k,,4,West Bengal
E1141,48,40-49,No,Logistics,Management,1,Male,Supply Chain Manager,1,Single,22828,20001-30k,,11,Haryana
E1142,34,30-39,No,Accounts,Arts,1,Female,Accountant,1,Divorced,9759,7k-10k,,12,Haryana
E1143,24,20-29,No,Sales,Technical,1,Female,Sales Executive,2,Divorced,17465,10001-20k,,23,West Bengal
E1144,27,20-29,Yes,Research,Management,1,Male,Research Scientist,3,Divorced,7131,7k-10k,Resignation,31,Delhi
E1145,29,20-29,No,Logistics,Science,1,Female,Supply Chain Manager,4,Divorced,39022,30001-40k,,15,Telangana
E1146,48,40-49,No,Accounts,Commerce,1,Female,Finance Analyst,3,Married,39202,30001-40k,,31,Uttar Pradesh
E1147,30,30-39,Yes,Manufacturing,Management,1,Male,Plant Manager,1,Married,35704,30001-40k,Resignation,20,Haryana
E1148,58,50-59,No,Marketing,Technical,1,Male,Marketing Manager,4,Married,12616,10001-20k,,11,Uttar Pradesh
E1149,54,50-59,No,Marketing,Management,1,Female,Marketing Analyst,2,Single,30641,30001-40k,,20,Haryana
E1150,45,40-49,No,Logistics,Commerce,1,Male,Logistics Executive,1,Divorced,44479,40001-50k,,20,Madhya Pradesh
E1151,36,30-39,No,Research,Technical,1,Female,Research Associate,1,Divorced,9875,7k-10k,,5,Madhya Pradesh
E1152,53,50-59,Yes,Manufacturing,Arts,1,Female,Production Worker,4,Married,29027,20001-30k,Termination,8,Maharashtra
E1153,53,50-59,No,Logistics,Technical,1,Male,Supply Chain Manager,2,Single,49912,40001-50k,,0,Maharashtra
E1154,45,40-49,Yes,Sales,Arts,1,Male,Sales Executive,4,Single,19311,10001-20k,Better Opportunity,11,Maharashtra
E1155,33,30-39,No,Accounts,Technical,1,Female,Accountant,2,Single,15173,10001-20k,,13,Karnataka
E1156,23,20-29,No,Sales,Commerce,1,Female,Sales Executive,1,Married,49692,40001-50k,,5,Karnataka
E1157,24,20-29,No,Marketing,Commerce,1,Female,Marketing Analyst,3,Single,39209,30001-40k,,0,Haryana
E1158,58,50-59,No,Accounts,Technical,1,Female,Accountant,1,Single,16764,10001-20k,,21,Telangana
E1159,38,30-39,Yes,Logistics,Management,1,Male,Logistics Executive,3,Single,15139,10001-20k,Better Opportunity,33,West Bengal
E1160,23,20-29,Yes,Sales,Commerce,1,Female,Sales Executive,3,Divorced,44242,40001-50k,Termination,10,Maharashtra
E1161,23,20-29,Yes,HR,Arts,1,Male,HR Executive,2,Married,16941,10001-20k,Layoff,2,Tamil Nadu
E1162,49,40-49,No,Research,Arts,1,Male,Research Associate,4,Divorced,14073,10001-20k,,5,Karnataka
E1163,44,40-49,Yes,Manufacturing,Science,1,Female,Plant Manager,2,Divorced,44827,40001-50k,Termination,5,Maharashtra
E1164,58,50-59,No,Manufacturing,Arts,1,Male,Production Worker,1,Married,11029,10001-20k,,19,Telangana
E1165,53,50-59,No,Research,Science,1,Male,Research Associate,4,Divorced,44096,40001-50k,,20,Karnataka
E1166,54,50-59,No,HR,Technical,1,Female,HR Manager,3,Single,19444,10001-20k,,1,Karnataka
E1167,22,20-29,Yes,Marketing,Technical,1,Male,Marketing Manager,3,Single,10975,10001-20k,Retirement,25,Tamil Nadu
E1168,40,40-49,No,Accounts,Technical,1,Male,Accountant,1,Single,10953,10001-20k,,30,Gujarat
E1169,23,20-29,No,Research,Management,1,Female,Research Associate,4,Single,14239,10001-20k,,25,Karnataka
E1170,47,40-49,No,HR,Management,1,Female,HR Manager,1,Married,11388,10001-20k,,31,Uttar Pradesh
E1171,53,50-59,No,Logistics,Science,1,Female,Logistics Executive,1,Divorced,37268,30001-40k,,9,Madhya Pradesh
E1172,27,20-29,Yes,Manufacturing,Arts,1,Female,Plant Manager,2,Divorced,11046,10001-20k,Retirement,22,Telangana
E1173,53,50-59,No,HR,Arts,1,Female,HR Manager,1,Single,49078,40001-50k,,5,Karnataka
E1174,25,20-29,No,Marketing,Technical,1,Female,Marketing Analyst,4,Single,8865,7k-10k,,22,Madhya Pradesh
E1175,32,30-39,No,Marketing,Commerce,1,Female,Marketing Analyst,1,Divorced,35887,30001-40k,,27,Karnataka
E1176,38,30-39,No,Sales,Management,1,Male,Sales Executive,4,Married,10125,10001-20k,,29,Maharashtra
E1177,59,50-59,No,Research,Management,1,Male,Research Scientist,3,Divorced,40479,40001-50k,,13,Maharashtra
E1178,45,40-49,No,Sales,Technical,1,Female,Sales Manager,1,Single,47478,40001-50k,,31,Telangana
E1179,26,20-29,No,Manufacturing,Management,1,Male,Plant Manager,4,Single,33401,30001-40k,,33,Maharashtra
E1180,55,50-59,No,HR,Technical,1,Male,HR Manager,3,Married,35502,30001-40k,,21,Madhya Pradesh
E1181,27,20-29,No,Accounts,Science,1,Female,Finance Analyst,4,Divorced,20394,20001-30k,,30,Telangana
E1182,43,40-49,No,Accounts,Arts,1,Male,Accountant,3,Married,16262,10001-20k,,6,Karnataka
E1183,32,30-39,No,Marketing,Commerce,1,Female,Marketing Analyst,2,Married,11487,10001-20k,,20,Gujarat
E1184,37,30-39,Yes,Accounts,Arts,1,Male,Accountant,1,Single,34341,30001-40k,Resignation,15,Uttar Pradesh
E1185,54,50-59,Yes,Accounts,Arts,1,Female,Finance Analyst,1,Divorced,20570,20001-30k,Termination,19,Delhi
E1186,30,30-39,No,Manufacturing,Science,1,Male,Plant Manager,3,Single,8783,7k-10k,,18,Maharashtra
E1187,27,20-29,No,Accounts,Management,1,Male,Accountant,2,Divorced,36605,30001-40k,,31,Haryana
E1188,37,30-39,No,HR,Commerce,1,Male,HR Executive,4,Single,8436,7k-10k,,14,Maharashtra
E1189,50,50-59,No,Accounts,Management,1,Female,Accountant,2,Single,33723,30001-40k,,4,Maharashtra
E1190,24,20-29,No,Logistics,Arts,1,Male,Logistics Executive,4,Divorced,11966,10001-20k,,10,Karnataka
E1191,41,40-49,Yes,Accounts,Technical,1,Male,Finance Analyst,4,Divorced,10782,10001-20k,Termination,14,Uttar Pradesh
E1192,57,50-59,No,Accounts,Arts,1,Female,Accountant,1,Single,9001,7k-10k,,28,Karnataka
E1193,40,40-49,Yes,Sales,Management,1,Female,Sales Manager,3,Divorced,14355,10001-20k,Resignation,3,Gujarat
E1194,47,40-49,No,HR,Arts,1,Male,HR Executive,1,Single,17268,10001-20k,,22,Karnataka
E1195,24,20-29,No,Marketing,Technical,1,Male,Marketing Manager,1,Divorced,11527,10001-20k,,14,Haryana
E1196,40,40-49,Yes,Sales,Science,1,Male,Sales Manager,1,Single,18632,10001-20k,Layoff,2,Karnataka
E1197,41,40-49,No,Research,Management,1,Male,Research Associate,4,Single,17249,10001-20k,,31,Tamil Nadu
E1198,53,50-59,No,HR,Arts,1,Female,HR Executive,1,Single,19268,10001-20k,,9,Karnataka
E1199,28,20-29,No,Logistics,Management,1,Male,Supply Chain Manager,4,Married,18966,10001-20k,,21,Maharashtra
E1200,54,50-59,No,HR,Science,1,Male,HR Executive,3,Divorced,46673,40001-50k,,13,Karnataka
E1201,39,30-39,No,Research,Arts,1,Female,Research Associate,4,Single,10642,10001-20k,,16,Delhi
E1202,22,20-29,Yes,Research,Arts,1,Male,Research Associate,4,Married,13338,10001-20k,Termination,20,Telangana
E1203,32,30-39,Yes,Research,Management,1,Male,Research Associate,2,Single,17592,10001-20k,Better Opportunity,14,Tamil Nadu
E1204,49,40-49,Yes,Manufacturing,Management,1,Male,Production Worker,1,Married,16622,10001-20k,Termination,14,Maharashtra
E1205,46,40-49,No,Marketing,Technical,1,Female,Marketing Analyst,1,Single,17289,10001-20k,,0,West Bengal
E1206,44,40-49,No,Accounts,Science,1,Female,Finance Analyst,1,Single,49873,40001-50k,,23,West Bengal
E1207,52,50-59,No,HR,Technical,1,Male,HR Manager,1,Married,16500,10001-20k,,11,Telangana
E1208,51,50-59,Yes,Manufacturing,Arts,1,Male,Plant Manager,2,Married,14806,10001-20k,Layoff,9,Uttar Pradesh
E1209,56,50-59,No,Accounts,Management,1,Female,Accountant,2,Divorced,7757,7k-10k,,30,Uttar Pradesh
E1210,28,20-29,No,Accounts,Arts,1,Male,Finance Analyst,2,Divorced,12259,10001-20k,,10,Telangana
E1211,37,30-39,No,Logistics,Arts,1,Male,Logistics Executive,2,Married,28470,20001-30k,,15,Maharashtra
E1212,47,40-49,No,Research,Commerce,1,Female,Research Associate,1,Divorced,13220,10001-20k,,8,Gujarat
E1213,23,20-29,No,Marketing,Commerce,1,Female,Marketing Manager,4,Married,16411,10001-20k,,13,Madhya Pradesh
E1214,22,20-29,Yes,Logistics,Arts,1,Female,Logistics Executive,3,Divorced,14012,10001-20k,Termination,18,Karnataka
E1215,33,30-39,No,Sales,Management,1,Male,Sales Manager,2,Single,8124,7k-10k,,30,Uttar Pradesh
E1216,26,20-29,No,Manufacturing,Arts,1,Male,Plant Manager,4,Divorced,29505,20001-30k,,8,West Bengal
E1217,58,50-59,No,Manufacturing,Commerce,1,Male,Plant Manager,2,Single,35288,30001-40k,,25,Madhya Pradesh
E1218,53,50-59,No,Marketing,Management,1,Male,Marketing Manager,1,Single,19166,10001-20k,,7,Gujarat
E1219,30,30-39,No,Accounts,Arts,1,Female,Finance Analyst,1,Divorced,26109,20001-30k,,23,Maharashtra
E1220,56,50-59,No,Manufacturing,Science,1,Male,Plant Manager,4,Married,10497,10001-20k,,7,Madhya Pradesh
E1221,40,40-49,No,Marketing,Science,1,Male,Marketing Analyst,4,Single,16183,10001-20k,,18,Maharashtra
E1222,37,30-39,No,Manufacturing,Arts,1,Female,Production Worker,4,Single,16864,10001-20k,,29,Gujarat
E1223,24,20-29,No,Manufacturing,Management,1,Female,Plant Manager,1,Divorced,13099,10001-20k,,21,Gujarat
E1224,41,40-49,No,Research,Arts,1,Male,Research Associate,1,Married,8448,7k-10k,,8,Tamil Nadu
E1225,45,40-49,No,Sales,Arts,1,Female,Sales Executive,3,Married,28017,20001-30k,,3,Madhya Pradesh
E1226,54,50-59,No,Research,Commerce,1,Female,Research Associate,4,Divorced,8821,7k-10k,,7,Karnataka
E1227,45,40-49,No,Sales,Science,1,Male,Sales Manager,3,Married,8871,7k-10k,,0,Madhya Pradesh
E1228,32,30-39,Yes,Manufacturing,Commerce,1,Male,Production Worker,2,Divorced,12232,10001-20k,Better Opportunity,27,Maharashtra
E1229,29,20-29,No,Logistics,Commerce,1,Male,Logistics Executive,3,Divorced,14689,10001-20k,,5,Maharashtra
E1230,57,50-59,No,Accounts,Arts,1,Male,Finance Analyst,2,Divorced,18794,10001-20k,,10,Madhya Pradesh
E1231,59,50-59,No,Manufacturing,Commerce,1,Female,Production Worker,2,Single,17372,10001-20k,,4,Uttar Pradesh
E1232,41,40-49,No,Sales,Science,1,Female,Sales Executive,3,Single,14398,10001-20k,,23,Maharashtra
E1233,56,50-59,No,Sales,Commerce,1,Male,Sales Executive,4,Single,23283,20001-30k,,17,Delhi
E1234,46,40-49,No,Sales,Science,1,Male,Sales Executive,2,Divorced,47857,40001-50k,,19,Haryana
E1235,56,50-59,No,Manufacturing,Commerce,1,Female,Production Worker,4,Single,19488,10001-20k,,27,Karnataka
E1236,46,40-49,Yes,Marketing,Science,1,Male,Marketing Analyst,1,Single,10036,10001-20k,Retirement,12,Telangana
E1237,50,50-59,No,Logistics,Commerce,1,Male,Logistics Executive,2,Single,9721,7k-10k,,4,Delhi
